"Element ID","Element Configuration","Element Connectivity","Component Name","Contour(Element Stresses (2D & 3D))",

1,104,2 3 8 1 ,panel1, 4.477E+01,
2,104,3 4 7 8 ,panel1, 5.102E+01,
3,104,4 5 6 7 ,panel1, 4.641E+01,
4,104,9 10 3 2 ,panel2, 5.278E+01,
5,104,10 11 4 3 ,panel2, 5.105E+01,
6,104,11 12 5 4 ,panel2, 5.200E+01,
7,104,13 14 10 9 ,panel3, 5.201E+01,
8,104,14 15 11 10 ,panel3, 5.259E+01,
9,104,15 16 12 11 ,panel3, 5.130E+01,
10,104,17 18 14 13 ,panel4, 5.179E+01,
11,104,18 19 15 14 ,panel4, 5.213E+01,
12,104,19 20 16 15 ,panel4, 5.170E+01,
13,104,21 22 18 17 ,panel5, 5.167E+01,
14,104,22 23 19 18 ,panel5, 5.203E+01,
15,104,23 24 20 19 ,panel5, 5.169E+01,
16,104,25 26 22 21 ,panel6, 5.169E+01,
17,104,26 27 23 22 ,panel6, 5.203E+01,
18,104,27 28 24 23 ,panel6, 5.167E+01,
19,104,29 30 26 25 ,panel7, 5.170E+01,
20,104,30 31 27 26 ,panel7, 5.213E+01,
21,104,31 32 28 27 ,panel7, 5.179E+01,
22,104,33 34 30 29 ,panel8, 5.130E+01,
23,104,34 35 31 30 ,panel8, 5.259E+01,
24,104,35 36 32 31 ,panel8, 5.201E+01,
25,104,37 38 34 33 ,panel9, 5.200E+01,
26,104,38 39 35 34 ,panel9, 5.105E+01,
27,104,39 40 36 35 ,panel9, 5.278E+01,
28,104,41 42 38 37 ,panel10, 4.641E+01,
29,104,42 43 39 38 ,panel10, 5.102E+01,
30,104,43 44 40 39 ,panel10, 4.477E+01,
31,61,41 42 ,spars,N/A,
32,61,42 43 ,spars,N/A,
33,61,43 44 ,spars,N/A,
34,61,1 8 ,spars,N/A,
35,61,8 7 ,spars,N/A,
36,61,7 6 ,spars,N/A,
37,60,2 3 ,stringers,N/A,
38,60,3 4 ,stringers,N/A,
39,60,4 5 ,stringers,N/A,
40,60,9 10 ,stringers,N/A,
41,60,10 11 ,stringers,N/A,
42,60,11 12 ,stringers,N/A,
43,60,13 14 ,stringers,N/A,
44,60,14 15 ,stringers,N/A,
45,60,15 16 ,stringers,N/A,
46,60,17 18 ,stringers,N/A,
47,60,18 19 ,stringers,N/A,
48,60,19 20 ,stringers,N/A,
49,60,21 22 ,stringers,N/A,
50,60,22 23 ,stringers,N/A,
51,60,23 24 ,stringers,N/A,
52,60,25 26 ,stringers,N/A,
53,60,26 27 ,stringers,N/A,
54,60,27 28 ,stringers,N/A,
55,60,29 30 ,stringers,N/A,
56,60,30 31 ,stringers,N/A,
57,60,31 32 ,stringers,N/A,
58,60,33 34 ,stringers,N/A,
59,60,34 35 ,stringers,N/A,
60,60,35 36 ,stringers,N/A,
61,60,37 38 ,stringers,N/A,
62,60,38 39 ,stringers,N/A,
63,60,39 40 ,stringers,N/A,
65,56,51 18 19 22 23 26 27 ,stringers,N/A,

